ticker,average_weight,simulation,strategy
SGOV,0.39999999999999913,34,min_variance
VT,0.09999999999999978,34,min_variance
BND,0.1253624786324784,34,max_sharpe
GLD,0.14707598290598276,34,max_sharpe
GSG,0.18607307692307729,34,max_sharpe
SGOV,0.2649010256410256,34,max_sharpe
VT,0.2765879487179486,34,max_sharpe
BND,0.0,34,market_cap
GLD,0.0,34,market_cap
GSG,0.0,34,market_cap
SGOV,0.0,34,market_cap
VT,1.0,34,market_cap
BND,0.19999999999999957,34,equal_weight
GLD,0.19999999999999957,34,equal_weight
GSG,0.19999999999999957,34,equal_weight
SGOV,0.19999999999999957,34,equal_weight
VT,0.19999999999999957,34,equal_weight
BND,0.3000000000000002,35,min_variance
GLD,0.09999999999999978,35,min_variance
GSG,0.09999999999999978,35,min_variance
SGOV,0.39999999999999913,35,min_variance
VT,0.09999999999999978,35,min_variance
BND,0.2252358119658116,35,max_sharpe
GLD,0.20774153846153884,35,max_sharpe
GSG,0.1447588888888889,35,max_sharpe
SGOV,0.21492264957264995,35,max_sharpe
VT,0.20734094017094026,35,max_sharpe
BND,0.0,35,market_cap
GLD,0.0,35,market_cap
GSG,0.0,35,market_cap
SGOV,0.0,35,market_cap
VT,1.0,35,market_cap
BND,0.19999999999999957,35,equal_weight
GLD,0.19999999999999957,35,equal_weight
GSG,0.19999999999999957,35,equal_weight
SGOV,0.19999999999999957,35,equal_weight
VT,0.19999999999999957,35,equal_weight
BND,0.3000000000000002,36,min_variance
GLD,0.09999999999999978,36,min_variance
GSG,0.09999999999999978,36,min_variance
SGOV,0.39999999999999913,36,min_variance
VT,0.09999999999999978,36,min_variance
BND,0.23026564102564143,36,max_sharpe
GLD,0.25835427350427353,36,max_sharpe
GSG,0.09999999999999978,36,max_sharpe
SGOV,0.2352749572649574,36,max_sharpe
VT,0.17610495726495723,36,max_sharpe
BND,0.0,36,market_cap
GLD,0.0,36,market_cap
GSG,0.0,36,market_cap
SGOV,0.0,36,market_cap
VT,1.0,36,market_cap
BND,0.19999999999999957,36,equal_weight
GLD,0.19999999999999957,36,equal_weight
GSG,0.19999999999999957,36,equal_weight
SGOV,0.19999999999999957,36,equal_weight
VT,0.19999999999999957,36,equal_weight
BND,0.3000000000000002,37,min_variance
